id,trial,type,background,valence,result,probability,sp
20,8,1,1,2,2,2,1
21,1,1,1,1,1,1,0.16
21,2,1,1,1,1,2,0.91
21,3,1,1,1,2,1,0.9
21,4,1,1,1,2,2,0.18
21,5,1,1,2,1,1,0.2
21,6,1,1,2,1,2,0.9
21,7,1,1,2,2,1,0.94
21,8,1,1,2,2,2,0.05
22,1,1,1,1,1,1,0.09
22,2,1,1,1,1,2,0
22,3,1,1,1,2,1,0.91
22,4,1,1,1,2,2,1
22,5,1,1,2,1,1,0.88
22,6,1,1,2,1,2,0.82
22,7,1,1,2,2,1,0.06
22,8,1,1,2,2,2,0
23,1,1,1,1,1,1,0.08
23,2,1,1,1,1,2,0.17
23,3,1,1,1,2,1,0.96
23,4,1,1,1,2,2,0.71
23,5,1,1,2,1,1,0.49
23,6,1,1,2,1,2,0.27
23,7,1,1,2,2,1,0.06
23,8,1,1,2,2,2,0.08
24,1,1,1,1,1,1,0
24,2,1,1,1,1,2,1
24,3,1,1,1,2,1,0.98
24,4,1,1,1,2,2,0
24,5,1,1,2,1,1,0.98
24,6,1,1,2,1,2,0
24,7,1,1,2,2,1,0
24,8,1,1,2,2,2,1
25,1,1,1,1,1,1,0.06
25,2,1,1,1,1,2,0.77
25,3,1,1,1,2,1,0.98
25,4,1,1,1,2,2,0.14
25,5,1,1,2,1,1,0.93
25,6,1,1,2,1,2,0.2
25,7,1,1,2,2,1,0.27
25,8,1,1,2,2,2,0.67
26,1,1,1,1,1,1,0.68
26,2,1,1,1,1,2,0.74
26,3,1,1,1,2,1,0.96
26,4,1,1,1,2,2,1
26,5,1,1,2,1,1,0.96
26,6,1,1,2,1,2,0.94
26,7,1,1,2,2,1,0.38
26,8,1,1,2,2,2,0.67
27,1,1,1,1,1,1,0.1
27,2,1,1,1,1,2,0
27,3,1,1,1,2,1,0.81
27,4,1,1,1,2,2,0.71
27,5,1,1,2,1,1,1
27,6,1,1,2,1,2,0.86
27,7,1,1,2,2,1,0.07
27,8,1,1,2,2,2,0.1
28,1,1,1,1,1,1,0.09
28,2,1,1,1,1,2,0.64
28,3,1,1,1,2,1,0.97
28,4,1,1,1,2,2,0.53
28,5,1,1,2,1,1,0.92
28,6,1,1,2,1,2,0.26
28,7,1,1,2,2,1,0.06
28,8,1,1,2,2,2,0.43
29,1,1,1,1,1,1,0.51
29,2,1,1,1,1,2,0.5
29,3,1,1,1,2,1,0.95
29,4,1,1,1,2,2,1
29,5,1,1,2,1,1,0.73
29,6,1,1,2,1,2,0.56
29,7,1,1,2,2,1,0.43
29,8,1,1,2,2,2,0.6
30,1,1,1,1,1,1,0.17
30,2,1,1,1,1,2,0.21
30,3,1,1,1,2,1,0.89
30,4,1,1,1,2,2,0.88
30,5,1,1,2,1,1,0.77
30,6,1,1,2,1,2,0.62
30,7,1,1,2,2,1,0.3
30,8,1,1,2,2,2,0.58
31,1,1,1,1,1,1,0
31,2,1,1,1,1,2,0.95
31,3,1,1,1,2,1,0.92
31,4,1,1,1,2,2,0
31,5,1,1,2,1,1,1
31,6,1,1,2,1,2,0
31,7,1,1,2,2,1,0.02
31,8,1,1,2,2,2,1
32,1,1,1,1,1,1,0.03
32,2,1,1,1,1,2,0.71
32,3,1,1,1,2,1,0.97
32,4,1,1,1,2,2,0.12
32,5,1,1,2,1,1,1
32,6,1,1,2,1,2,0.24
32,7,1,1,2,2,1,0
32,8,1,1,2,2,2,1
33,1,1,1,1,1,1,0.06
33,2,1,1,1,1,2,1
33,3,1,1,1,2,1,1
33,4,1,1,1,2,2,0
33,5,1,1,2,1,1,0.98
33,6,1,1,2,1,2,0.08
33,7,1,1,2,2,1,0
33,8,1,1,2,2,2,1
34,1,1,1,1,1,1,0
34,2,1,1,1,1,2,0.95
34,3,1,1,1,2,1,1
34,4,1,1,1,2,2,0
34,5,1,1,2,1,1,0.97
34,6,1,1,2,1,2,0
34,7,1,1,2,2,1,0
34,8,1,1,2,2,2,1
35,1,1,1,1,1,1,0
35,2,1,1,1,1,2,0.95
35,3,1,1,1,2,1,1
35,4,1,1,1,2,2,0
35,5,1,1,2,1,1,0.97
35,6,1,1,2,1,2,0
35,7,1,1,2,2,1,0.02
35,8,1,1,2,2,2,1
36,1,1,1,1,1,1,0
36,2,1,1,1,1,2,0.94
36,3,1,1,1,2,1,0.97
